county,year,season,seasonal_rainfall_mm,rainy_days,heavy_rain_days,max_dry_spell_days,onset_week,temp_mean_c,temp_max_c,temp_min_c,elevation_m,drought_risk_index
Bomet,2017,Long Rains (MAM),30.5,3,0,13,3,17.4,24.4,10.7,2020.0,0.767
Bomet,2017,Short Rains (OND),212.2,31,1,14,2,14.7,23.1,6.5,2020.0,0.541
Bomet,2019,Short Rains (OND),724.5,37,14,14,1,14.9,22.2,7.0,2020.0,0.0
Bomet,2020,Long Rains (MAM),65.4,6,1,1,1,17.2,22.9,11.2,2020.0,0.529
Bomet,2021,Long Rains (MAM),375.9,35,4,10,1,17.5,26.2,9.5,2020.0,0.259
Bomet,2021,Short Rains (OND),318.5,37,3,9,2,15.1,23.2,7.4,2020.0,0.319
Bomet,2022,Long Rains (MAM),268.3,27,5,8,3,17.7,25.6,9.6,2020.0,0.37
Bungoma,2017,Long Rains (MAM),332.6,25,6,7,1,22.4,29.8,14.9,1227.0,0.269
Bungoma,2017,Short Rains (OND),294.9,32,3,13,1,18.7,27.3,10.8,1385.0,0.415
Bungoma,2018,Long Rains (MAM),862.4,76,11,4,1,20.9,28.1,13.6,1455.0,0.0
Bungoma,2018,Short Rains (OND),231.7,33,0,17,2,16.8,24.3,9.9,1696.0,0.563
Bungoma,2019,Long Rains (MAM),421.9,49,4,16,1,19.8,26.7,12.8,1634.0,0.293
Bungoma,2019,Short Rains (OND),875.1,73,17,5,1,18.0,25.0,11.5,1515.0,0.0
Bungoma,2020,Long Rains (MAM),877.6,71,14,5,1,20.6,28.2,13.1,1506.0,0.0
Bungoma,2020,Short Rains (OND),287.7,46,2,8,2,17.5,25.0,10.4,1631.0,0.344
Bungoma,2021,Long Rains (MAM),661.9,64,7,6,2,20.7,27.4,14.0,1511.0,0.0
Bungoma,2021,Short Rains (OND),271.5,43,1,19,1,18.1,25.2,11.2,1532.0,0.542
Bungoma,2022,Long Rains (MAM),567.4,60,4,13,4,20.8,27.4,13.8,1532.0,0.051
Bungoma,2022,Short Rains (OND),286.7,54,0,10,1,18.1,25.0,11.1,1537.0,0.378
Bungoma,2023,Long Rains (MAM),513.1,71,3,4,3,21.2,28.8,14.0,1480.0,0.0
Bungoma,2023,Short Rains (OND),440.4,63,3,7,1,19.1,27.1,12.2,1399.0,0.125
Bungoma,2024,Long Rains (MAM),621.1,66,6,14,1,21.3,28.4,14.0,1471.0,0.0
Bungoma,2024,Short Rains (OND),518.9,60,6,13,1,18.7,26.2,11.8,1481.0,0.116
Bungoma,2025,Long Rains (MAM),616.0,68,6,8,2,20.9,27.7,14.1,1558.0,0.0
Embu,2017,Short Rains (OND),214.8,10,4,10,2,18.2,25.8,11.0,1474.0,0.474
Embu,2018,Short Rains (OND),312.9,32,5,13,4,18.3,25.8,10.7,1474.0,0.391
Embu,2019,Long Rains (MAM),1.8,0,0,5,7,20.6,27.7,13.4,1474.0,0.678
Embu,2019,Short Rains (OND),639.9,44,10,6,1,18.3,25.8,10.6,1474.0,0.0
Embu,2020,Short Rains (OND),87.3,5,2,15,1,17.9,24.6,11.0,1554.0,0.724
Embu,2021,Long Rains (MAM),566.7,45,10,15,3,20.6,27.8,13.6,1557.0,0.084
Embu,2021,Short Rains (OND),356.7,36,5,18,3,18.0,25.2,10.9,1557.0,0.412
Embu,2022,Long Rains (MAM),0.0,0,0,23,7,20.3,28.2,13.4,1474.0,0.968
Embu,2022,Short Rains (OND),274.2,26,2,20,5,18.0,24.8,10.4,1562.0,0.554
