county,year,season,seasonal_rainfall_mm,temp_mean_c,max_dry_spell_days,onset_week,n_stations,data_source
Bomet,2015,Long Rains (MAM),313.8,19.1,22,4,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2015,Short Rains (OND),375.6,19.0,10,7,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2016,Long Rains (MAM),423.4,19.1,11,5,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2016,Short Rains (OND),138.3,19.1,32,1,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2017,Long Rains (MAM),184.9,20.3,15,7,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2017,Short Rains (OND),241.7,18.8,22,2,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2018,Long Rains (MAM),788.7,17.1,5,1,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2018,Short Rains (OND),240.1,18.5,8,7,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2019,Long Rains (MAM),198.6,20.8,24,8,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2019,Short Rains (OND),794.5,18.1,4,3,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2020,Long Rains (MAM),645.9,17.3,7,1,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2020,Short Rains (OND),313.6,17.6,10,3,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2021,Long Rains (MAM),356.8,18.4,10,4,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2021,Short Rains (OND),149.4,19.4,9,9,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2022,Long Rains (MAM),241.1,19.8,23,4,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2022,Short Rains (OND),147.4,18.9,26,7,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2023,Long Rains (MAM),328.8,19.0,7,3,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2023,Short Rains (OND),364.8,19.2,6,6,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2024,Long Rains (MAM),820.9,18.1,8,1,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bomet,2024,Short Rains (OND),295.0,18.5,8,8,1,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2015,Long Rains (MAM),2417.4,21.0,77,4,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2015,Short Rains (OND),3024.6,19.9,15,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
Bungoma,2016,Long Rains (MAM),2450.0,21.0,29,1,4,"NASA POWER (real, MEASURED-tier reanalysis)"
