crop,category,market,base_price,market_price,peak_harvest_price,off_season_price,volatility_cv
Maize,Cereals,Nairobi (Wakulima),42,51.2,42.0,64.0,0.18
Maize,Cereals,Nakuru,42,42.8,35.1,53.5,0.272
Maize,Cereals,Eldoret,42,41.2,33.8,51.5,0.237
Maize,Cereals,Kisumu (Jubilee),42,45.4,37.2,56.8,0.216
Maize,Cereals,Mombasa (Kongowea),42,53.8,44.1,67.2,0.145
Sorghum,Cereals,Nairobi (Wakulima),50,61.0,50.0,76.2,0.145
Sorghum,Cereals,Nakuru,50,51.0,41.8,63.8,0.129
Sorghum,Cereals,Eldoret,50,49.0,40.2,61.2,0.259
Sorghum,Cereals,Kisumu (Jubilee),50,54.0,44.3,67.5,0.216
Sorghum,Cereals,Mombasa (Kongowea),50,64.0,52.5,80.0,0.233
Finger Millet,Cereals,Nairobi (Wakulima),75,91.5,75.0,114.4,0.123
Finger Millet,Cereals,Nakuru,75,76.5,62.7,95.6,0.275
Finger Millet,Cereals,Eldoret,75,73.5,60.3,91.9,0.253
Finger Millet,Cereals,Kisumu (Jubilee),75,81.0,66.4,101.2,0.154
Finger Millet,Cereals,Mombasa (Kongowea),75,96.0,78.7,120.0,0.149
Pearl Millet,Cereals,Nairobi (Wakulima),70,85.4,70.0,106.8,0.149
Pearl Millet,Cereals,Nakuru,70,71.4,58.5,89.2,0.169
Pearl Millet,Cereals,Eldoret,70,68.6,56.3,85.8,0.204
Pearl Millet,Cereals,Kisumu (Jubilee),70,75.6,62.0,94.5,0.189
Pearl Millet,Cereals,Mombasa (Kongowea),70,89.6,73.5,112.0,0.167
Wheat,Cereals,Nairobi (Wakulima),52,63.4,52.0,79.2,0.218
Wheat,Cereals,Nakuru,52,53.0,43.5,66.2,0.142
Wheat,Cereals,Eldoret,52,51.0,41.8,63.8,0.167
Wheat,Cereals,Kisumu (Jubilee),52,56.2,46.1,70.2,0.179
Wheat,Cereals,Mombasa (Kongowea),52,66.6,54.6,83.2,0.193
Rice,Cereals,Nairobi (Wakulima),90,109.8,90.0,137.2,0.246
Rice,Cereals,Nakuru,90,91.8,75.3,114.8,0.152
Rice,Cereals,Eldoret,90,88.2,72.3,110.2,0.202
Rice,Cereals,Kisumu (Jubilee),90,97.2,79.7,121.5,0.215
Rice,Cereals,Mombasa (Kongowea),90,115.2,94.5,144.0,0.127
Common Beans,Pulses,Nairobi (Wakulima),120,146.4,120.0,183.0,0.217
Common Beans,Pulses,Nakuru,120,122.4,100.4,153.0,0.147
Common Beans,Pulses,Eldoret,120,117.6,96.4,147.0,0.13
Common Beans,Pulses,Kisumu (Jubilee),120,129.6,106.3,162.0,0.272
Common Beans,Pulses,Mombasa (Kongowea),120,153.6,126.0,192.0,0.275
Cowpeas (Kunde),Pulses,Nairobi (Wakulima),95,115.9,95.0,144.9,0.249
Cowpeas (Kunde),Pulses,Nakuru,95,96.9,79.5,121.1,0.169
Cowpeas (Kunde),Pulses,Eldoret,95,93.1,76.3,116.4,0.136
Cowpeas (Kunde),Pulses,Kisumu (Jubilee),95,102.6,84.1,128.2,0.229
Cowpeas (Kunde),Pulses,Mombasa (Kongowea),95,121.6,99.7,152.0,0.19
Green Grams (Ndengu),Pulses,Nairobi (Wakulima),110,134.2,110.0,167.8,0.14
Green Grams (Ndengu),Pulses,Nakuru,110,112.2,92.0,140.2,0.199
Green Grams (Ndengu),Pulses,Eldoret,110,107.8,88.4,134.8,0.126
Green Grams (Ndengu),Pulses,Kisumu (Jubilee),110,118.8,97.4,148.5,0.265
Green Grams (Ndengu),Pulses,Mombasa (Kongowea),110,140.8,115.5,176.0,0.161
Pigeon Peas (Mbaazi),Pulses,Nairobi (Wakulima),100,122.0,100.0,152.5,0.226
Pigeon Peas (Mbaazi),Pulses,Nakuru,100,102.0,83.6,127.5,0.17
Pigeon Peas (Mbaazi),Pulses,Eldoret,100,98.0,80.4,122.5,0.203
Pigeon Peas (Mbaazi),Pulses,Kisumu (Jubilee),100,108.0,88.6,135.0,0.207
Pigeon Peas (Mbaazi),Pulses,Mombasa (Kongowea),100,128.0,105.0,160.0,0.15
Soybeans,Pulses,Nairobi (Wakulima),85,103.7,85.0,129.6,0.275
Soybeans,Pulses,Nakuru,85,86.7,71.1,108.4,0.244
Soybeans,Pulses,Eldoret,85,83.3,68.3,104.1,0.27
Soybeans,Pulses,Kisumu (Jubilee),85,91.8,75.3,114.8,0.263
Soybeans,Pulses,Mombasa (Kongowea),85,108.8,89.2,136.0,0.216
Groundnuts,Pulses,Nairobi (Wakulima),130,158.6,130.1,198.2,0.267
Groundnuts,Pulses,Nakuru,130,132.6,108.7,165.8,0.134
Groundnuts,Pulses,Eldoret,130,127.4,104.5,159.2,0.151
Groundnuts,Pulses,Kisumu (Jubilee),130,140.4,115.1,175.5,0.127
Groundnuts,Pulses,Mombasa (Kongowea),130,166.4,136.4,208.0,0.172
Irish Potatoes,Roots & Tubers,Nairobi (Wakulima),35,42.7,35.0,53.4,0.182
Irish Potatoes,Roots & Tubers,Nakuru,35,35.7,29.3,44.6,0.163
Irish Potatoes,Roots & Tubers,Eldoret,35,34.3,28.1,42.9,0.253
Irish Potatoes,Roots & Tubers,Kisumu (Jubilee),35,37.8,31.0,47.2,0.177
Irish Potatoes,Roots & Tubers,Mombasa (Kongowea),35,44.8,36.7,56.0,0.165
Sweet Potatoes,Roots & Tubers,Nairobi (Wakulima),30,36.6,30.0,45.8,0.207
Sweet Potatoes,Roots & Tubers,Nakuru,30,30.6,25.1,38.2,0.143
Sweet Potatoes,Roots & Tubers,Eldoret,30,29.4,24.1,36.8,0.248
Sweet Potatoes,Roots & Tubers,Kisumu (Jubilee),30,32.4,26.6,40.5,0.132
Sweet Potatoes,Roots & Tubers,Mombasa (Kongowea),30,38.4,31.5,48.0,0.278
Cassava,Roots & Tubers,Nairobi (Wakulima),25,30.5,25.0,38.1,0.244
Cassava,Roots & Tubers,Nakuru,25,25.5,20.9,31.9,0.152
Cassava,Roots & Tubers,Eldoret,25,24.5,20.1,30.6,0.121
Cassava,Roots & Tubers,Kisumu (Jubilee),25,27.0,22.1,33.8,0.25
Cassava,Roots & Tubers,Mombasa (Kongowea),25,32.0,26.2,40.0,0.233
Arrowroots (Nduma),Roots & Tubers,Nairobi (Wakulima),60,73.2,60.0,91.5,0.237
Arrowroots (Nduma),Roots & Tubers,Nakuru,60,61.2,50.2,76.5,0.243
Arrowroots (Nduma),Roots & Tubers,Eldoret,60,58.8,48.2,73.5,0.132
Arrowroots (Nduma),Roots & Tubers,Kisumu (Jubilee),60,64.8,53.1,81.0,0.177
Arrowroots (Nduma),Roots & Tubers,Mombasa (Kongowea),60,76.8,63.0,96.0,0.139
Tomatoes,Horticulture,Nairobi (Wakulima),45,54.9,45.0,68.6,0.258
Tomatoes,Horticulture,Nakuru,45,45.9,37.6,57.4,0.22
Tomatoes,Horticulture,Eldoret,45,44.1,36.2,55.1,0.173
Tomatoes,Horticulture,Kisumu (Jubilee),45,48.6,39.9,60.8,0.13
Tomatoes,Horticulture,Mombasa (Kongowea),45,57.6,47.2,72.0,0.17
Bulb Onions,Horticulture,Nairobi (Wakulima),55,67.1,55.0,83.9,0.172
Bulb Onions,Horticulture,Nakuru,55,56.1,46.0,70.1,0.237
Bulb Onions,Horticulture,Eldoret,55,53.9,44.2,67.4,0.222
Bulb Onions,Horticulture,Kisumu (Jubilee),55,59.4,48.7,74.2,0.262
Bulb Onions,Horticulture,Mombasa (Kongowea),55,70.4,57.7,88.0,0.196
Cabbage,Horticulture,Nairobi (Wakulima),20,24.4,20.0,30.5,0.139
Cabbage,Horticulture,Nakuru,20,20.4,16.7,25.5,0.234
Cabbage,Horticulture,Eldoret,20,19.6,16.1,24.5,0.242
