id,name,location_id,country_code,latitude,longitude,elevation_msl,installation_height,installation_date,county
TA00001,Lela Primary School,1,KE,-1.1232833,34.3979917,1393.0,2.0,2012-08-01T00:00:00Z,Migori
TA00018,Koyoo Secondary School,21,KE,-0.5820111,34.6072611,1411.9,2.0,2014-06-18T00:00:00Z,Migori
TA00019,Osodo Secondary School,22,KE,-0.5241139,34.2556472,1281.0,2.0,2015-03-27T00:00:00Z,Migori
TA00020,Woodlands 2000 Trust,23,KE,-1.6533556,36.8623972,1643.0,2.0,2015-05-28T00:00:00Z,Other Kenya
TA00021,Kipsombe Secondary School,24,KE,0.7579861,35.1737111,1948.4,2.0,2015-06-09T00:00:00Z,Uasin Gishu
TA00024,ARCUS- Mang'u High School,27,KE,-1.0717306,37.0455778,1524.7,2.0,2015-08-04T00:00:00Z,Kiambu
TA00025,ARCUS- Kenya Meteorological Department Nairobi (Headquarters),28,KE,-1.3018389,36.7602,1801.8,2.0,2015-08-17T00:00:00Z,Nairobi
TA00026,ARCUS- Moi Forces Academy,29,KE,-0.2871222,36.1699806,1939.9,3.0,2015-08-28T00:00:00Z,Nakuru
TA00028,ARCUS- Three Rivers Academy,31,KE,0.0552193,37.13674669,2003.6,9.0,2015-08-31T00:00:00Z,Other Kenya
TA00029,ARCUS- Karima Girls High School,32,KE,-0.500775513,36.58751105,2545.8,2.0,2015-09-02T00:00:00Z,Nyandarua
TA00030,Ole Tipis Girls Secondary School,33,KE,-1.0946806,35.8923361,1925.7,2.0,2015-09-09T00:00:00Z,Narok
TA00054,Molo Academy,57,KE,-0.2393417,35.728897,2514.1,2.0,2015-09-23T00:00:00Z,Nakuru
TA00056,Murang'a High School,59,KE,-0.7216559,37.1455851,1376.0,2.0,2015-10-03T00:00:00Z,Murang'a
TA00057,St. Scholastica Catholic School,60,KE,-1.253029763,36.85648709,1645.3,2.0,2015-10-08T00:00:00Z,Nairobi
TA00061,Kipsigis Girls High School,64,KE,-0.3793746,35.2507188,1959.3,2.0,2015-10-16T00:00:00Z,Kericho
TA00062,ARCUS- Nasokol Girls High School,65,KE,1.2734194,35.0853626,2071.0,2.0,2015-10-21T00:00:00Z,West Pokot
TA00063,Kapsabet Boys High School,66,KE,0.2030556,35.1166889,2015.0,2.0,2015-11-04T00:00:00Z,Nandi
TA00064,Kamusinga Friends Boys Secondary School,67,KE,0.7939077,34.7053857,1721.0,2.0,2015-11-04T00:00:00Z,Bungoma
TA00065,ARCUS- Mukumu Girls High School,68,KE,0.2180637,34.7684636,1566.0,2.0,2015-11-05T00:00:00Z,Kakamega
TA00066,Alliance Girls High School,69,KE,-1.2654376,36.6623375,1996.0,2.0,2015-11-05T00:00:00Z,Kiambu
TA00067,Makueni Boys School,70,KE,-1.794284998,37.62121131,1202.1,2.0,2015-11-12T00:00:00Z,Makueni
TA00068,Base Titanium Mine,71,KE,-4.373456,39.4409797,128.2,2.0,2015-11-19T00:00:00Z,Kwale
TA00069,Base Titanium Dam,72,KE,-4.4062421,39.4305637,51.2,2.5,2015-11-19T00:00:00Z,Kwale
TA00070,Shimba Hills Kidongo Gate,73,KE,-4.3117683,39.3718988,236.9,2.0,2015-11-20T00:00:00Z,Kwale
TA00071,Msambweni SCAO,74,KE,-4.4607798,39.4828099,20.2,2.0,2015-11-20T00:00:00Z,Kwale
TA00072,Likoni School for the Blind,75,KE,-4.0789825,39.6568773,14.0,3.0,2015-11-20T00:00:00Z,Mombasa
TA00073,Thome Boys Secondary School,76,KE,-0.071723067,36.93383474,1853.5,2.0,2015-11-19T00:00:00Z,Other Kenya
TA00074,South Tetu Girls High School,77,KE,-0.5660801,37.0744122,1726.8,2.0,2015-11-19T00:00:00Z,Nyeri
TA00076,ARCUS- Urudi Mixed Secondary School,79,KE,-0.2843613,34.9546417,1170.0,2.0,2015-12-03T00:00:00Z,Kisumu
TA00077,Musaria Secondary School,80,KE,-0.3830663,35.0684057,1765.0,2.0,2015-12-03T00:00:00Z,Kericho
TA00078,Nyandarua High School,81,KE,-0.2001778,36.3769356,2427.2,2.5,2016-01-11T00:00:00Z,Nyandarua
TA00080,ARCUS- Waruhiu ATC(Agriculture Training Centre),83,KE,-1.087589498,36.81840152,1777.3,2.0,2016-01-28T00:00:00Z,Kiambu
TA00108,Nzukini Secondary School,110,KE,-0.991916183,37.50728828,1141.1,2.0,2017-01-31T00:00:00Z,Other Kenya
TA00129,Timbila High School,131,KE,-3.390926173,37.71765619,755.3,2.0,2017-03-06T00:00:00Z,Taita Taveta
TA00130,Our Lady of Perpetuah Girls Secondary school,132,KE,-3.4976,38.585934,1153.9,2.0,2017-03-07T00:00:00Z,Taita Taveta
TA00131,Shimo la Tewa School,133,KE,-3.960327,39.744076,7.8,2.0,2017-03-08T00:00:00Z,Mombasa
TA00132,ARCUS- Ganze Boys Secondary,134,KE,-3.551352,39.695029,165.0,2.0,2017-03-09T00:00:00Z,Kilifi
TA00133,Mkunumbi Secondary School,135,KE,-2.29839,40.694046,5.0,2.0,2017-03-10T00:00:00Z,Lamu
TA00140,Torongo Girls High School,141,KE,0.1254519,35.6042823,2557.6,2.0,2017-03-22T00:00:00Z,Other Kenya
TA00141,ARCUS- Sacho High School,142,KE,0.388119,35.786769,2102.8,2.3,2017-03-23T00:00:00Z,Other Kenya
TA00147,Kisoko Girls Secondary School,148,KE,0.449274,34.282303,1226.7,2.0,2017-04-01T00:00:00Z,Bungoma
TA00155,ARCUS- Namanga Mixed Secondary School,156,KE,-2.523037,36.829437,1311.7,2.0,2017-04-05T00:00:00Z,Machakos
TA00156,Ikanga Boys High School,157,KE,-1.701123,38.068339,871.6,2.0,2017-04-03T00:00:00Z,Makueni
TA00158,Muthale Girls Secondary School,159,KE,-1.184988,38.001424,1369.0,2.0,2017-04-03T00:00:00Z,Makueni
TA00166,Chuka University,166,KE,-0.319508,37.659139,1404.0,2.0,2017-05-11T00:00:00Z,Tharaka Nithi
TA00171,ARCUS- Maseno University,171,KE,-0.00271,34.596908,1532.0,2.0,2017-05-19T00:00:00Z,Kisumu
TA00172,ARCUS- Isiolo County Office (KMD),173,KE,0.353931,37.58774,1110.0,2.0,2017-05-19T00:00:00Z,Isiolo
TA00173,Longisa High School,174,KE,-0.854722,35.39565,2020.0,2.0,2017-05-12T00:00:00Z,Bomet
TA00174,Oldonyiru Secondary School,175,KE,0.629807395,36.98800639,1535.7,2.0,2017-05-22T00:00:00Z,Other Kenya
TA00182,RCMRD,183,KE,-1.22151,36.89292,1616.0,2.4,2017-07-25T00:00:00Z,Kiambu
TA00183,Olderkesi Secondary School,184,KE,-1.71137,35.56528,1952.0,2.0,2017-07-27T00:00:00Z,Narok
TA00184,Irbaan Primary,185,KE,-1.46418,35.28793,1605.0,2.0,2017-07-27T00:00:00Z,Narok
TA00185,Mararianda Primary,186,KE,-1.20328,35.06718,1660.0,2.0,2017-07-28T00:00:00Z,Narok
TA00186,Kyuso DC Office,187,KE,-0.54978,38.2128,877.2,2.0,2017-08-02T00:00:00Z,Kitui
TA00187,Tseikuru Agricultural offices,188,KE,-0.313821068,38.21996012,607.5,2.0,2017-08-02T00:00:00Z,Kitui
TA00189,ARCUS- Machaga,190,KE,-0.79526,37.66593,1084.8,2.0,2017-08-01T00:00:00Z,Tharaka Nithi
TA00190,ARCUS- University of Embu,191,KE,-0.516626848,37.45622204,1473.6,2.0,2017-08-02T00:00:00Z,Embu
TA00196,Baricho High school,195,KE,-0.551327005,37.22790692,1432.7,2.0,2017-09-05T00:00:00Z,Nyeri
TA00247,Maralal Samburu Office (KMD),245,KE,1.098354053,36.71402261,1954.3,2.0,2017-09-27T00:00:00Z,Narok
TA00250,Kangi,248,KE,-0.77894,37.676738,1068.0,2.0,2017-09-21T00:00:00Z,Tharaka Nithi
TA00261,ARCUS- Marafa Boys High School,259,KE,-3.032143,39.958802,93.0,2.0,2017-10-08T00:00:00Z,Narok
TA00274,ARCUS-Moi University,272,KE,0.289569,35.294804,2220.0,2.0,2017-10-11T00:00:00Z,Uasin Gishu
TA00281,Marich Education Center,279,KE,1.537231013,35.45692138,933.3,2.7,2017-10-20T00:00:00Z,West Pokot
TA00288,Kibisi Secondary School,286,KE,0.697736385,34.86513736,1672.4,2.0,2017-11-02T00:00:00Z,Bungoma
TA00316,Konya secondary school,310,KE,0.289862,34.371222,1263.8,2.0,2017-12-11T00:00:00Z,Siaya
TA00317,ARCUS- Ng'iya primary school,311,KE,0.04044,34.371716,1432.0,2.0,2017-12-11T00:00:00Z,Siaya
TA00354,ARCUS- Talent High School,348,KE,3.192774,35.675449,498.0,2.0,2018-01-22T00:00:00Z,Turkana
TA00355,Moi High School Kalokol,349,KE,3.498068995,35.84389674,386.8,2.0,2018-01-16T00:00:00Z,Turkana
TA00356,Loima Boys High School,350,KE,2.856836,35.080275,721.1,2.0,2018-01-18T00:00:00Z,Turkana
TA00359,Habasweni DC Offices,352,KE,1.015292,39.495223,214.1,2.0,2018-01-23T00:00:00Z,Wajir
TA00360,ARCUS- Kitui county office  (KMD),353,KE,-1.379502,38.003494,1126.1,2.0,2018-01-18T00:00:00Z,Kitui
TA00374,Jooust,367,KE,-0.09321,34.260355,1270.0,2.0,2018-01-24T00:00:00Z,Siaya
TA00377,Dol Dol Secondary School,370,KE,0.40379498,37.16207014,1865.3,2.0,2018-02-06T00:00:00Z,Laikipia
TA00379,ARCUS- Lariak Secondary School,372,KE,0.402296,36.37726,2031.0,2.0,2018-02-07T00:00:00Z,Laikipia
TA00386,Merti muslim primary,379,KE,1.0675364,38.6692209,297.1,2.0,2018-02-09T00:00:00Z,Isiolo
TA00387,Kanga High school,380,KE,-0.810491,34.589472,1450.0,2.0,2018-02-12T00:00:00Z,Migori
TA00389,Mwongori Nyamira Count,382,KE,-0.6903275,35.036889,2044.0,2.0,2018-02-13T00:00:00Z,Nyamira
TA00413,Kibabii University,402,KE,0.620245,34.520891,1509.0,2.0,2018-03-19T00:00:00Z,Bungoma
TA00414,Murungaru Secondary School,403,KE,-0.586642,36.493098,2432.0,2.0,2018-03-21T00:00:00Z,Nyandarua
TA00416,Magomano Secondary School,404,KE,-0.606799,36.581097,2488.0,2.0,2018-03-23T00:00:00Z,Nyandarua
TA00440,St Charles Ichuni High School,417,KE,-0.7895827,34.9454152,2144.7,2.0,2018-02-22T00:00:00Z,Kisii
TA00441,Cardinal Otunga Musocho High School,418,KE,-0.599323,34.744223,1537.5,2.0,2018-03-04T00:00:00Z,Kisii
TA00442,St Johns Nyamagwa,419,KE,-0.791772,34.804728,1811.5,2.0,2018-03-04T00:00:00Z,Kisii
